Sample,SOURCE,SITE,DISTRICT,QUARRY,MARBLE GROUP basic,MARBLE GROUP,Afygroup,SELECT,MGS,d18O,d13C
D1,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,50","-4,72","0,91"
D2,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,30","-5,32","-0,84"
D3,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"0,90","-4,96","0,64"
D4,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"0,60","-5,09","-0,76"
D5,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"0,90","-4,54","-0,75"
D6,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"0,60","-4,54","-1,44"
D7,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,50","-5,16","-0,15"
D7bis,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,00","-4,87","0,48"
D8,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,00","-5,42","0,07"
D9,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,05","-5,92","0,64"
D10,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,10","-4,61","0,59"
D11,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,25","-3,17","1,67"
D12,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,40","-6,53","0,97"
D13,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"0,90","-5,92","0,86"
D14,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"0,90","-3,59","1,44"
D15,CNRset98,Afyon,Afyon,Bacakale,Afyon,Bacakale,Afyon,,"1,30","-7,08","1,99"
D23,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"1,00","-3,23","2,78"
D24,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,90","-3,20","2,58"
D25,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,65","-3,21","2,53"
D26,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"1,00","-3,13","2,62"
D27,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"1,20","-3,47","2,57"
D28,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,90","-3,79","2,35"
D29,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,70","-3,91","2,52"
D30,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,90","-2,43","2,17"
D30bis,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,70","-3,65","2,40"
D31,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,90","-3,93","2,72"
D32,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,70","-3,16","1,78"
D33,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,60","-3,11","2,34"
D34,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,65","-3,33","2,34"
D35,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,70","-3,37","2,57"
D36,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,75","-3,15","2,51"
D37,CNRset98,Afyon,Afyon,Rd-II,Afyon,Rd-II/V,Afyon,,"0,70","-2,98","2,45"
D38,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,55","-7,51","2,43"
D39,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,60","-5,02","2,71"
D40,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,65","-3,06","2,96"
D41,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,70","-4,48","2,23"
D42,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,70","-3,42","2,68"
D43,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,70","-3,62","3,08"
D44,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,70","-4,77","2,04"
D45,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,75","-3,73","2,52"
D46,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,55","-2,83","2,58"
D47,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,90","-7,11","1,98"
D48,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"1,05","-2,32","2,18"
D49,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,75","-2,80","2,72"
D50,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,70","-2,81","2,29"
D51,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,90","-2,46","2,18"
D52,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,60","-2,43","2,35"
D53,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,70","-3,01","2,56"
D54,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,80","-2,92","2,23"
D55,CNRset98,Afyon,Afyon,Rd-V,Afyon,Rd-II/V,Afyon,,"0,90","-2,80","2,56"
D59,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"1,40","-3,11","2,82"
D60,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,60","-3,55","2,53"
D61,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,65","-5,36","2,42"
D62,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,70","-6,52","2,59"
D63,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,60","-6,86","2,46"
D64,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,75","-6,44","2,61"
D65,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,70","-5,41","2,56"
D66,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,90","-6,94","2,00"
D67,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,50","-7,69","1,83"
D68,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,90","-4,83","1,33"
D69,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"1,10","-4,02","0,48"
D70,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,70","-4,82","1,56"
D71,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"1,10","-4,53","0,91"
D72,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"0,80","-4,51","0,87"
D73,CNRset98,Afyon,Afyon,Rd-III/IV,Afyon,Rd-III/IV,Afyon,,"1,10","-4,48","0,42"
A2.8.1,CNRset02,Aphrod,Ridge2,Rdg2-8,Aphrodisias,Aphrod,Aphrod,,"1,10","-6,13","-2,74"
A2.8.2,CNRset02,Aphrod,Ridge2,Rdg2-8,Aphrodisias,Aphrod,Aphrod,,"1,10","-3,33","0,18"
A2.8.3,CNRset02,Aphrod,Ridge2,Rdg2-8,Aphrodisias,Aphrod,Aphrod,,"1,40","-2,85","1,07"
A2.9.1,CNRset02,Aphrod,Ridge2,Rdg2-9,Aphrodisias,Aphrod,Aphrod,,"1,40","-3,56","-0,68"
A2.9.2,CNRset02,Aphrod,Ridge2,Rdg2-9,Aphrodisias,Aphrod,Aphrod,,"1,50","-3,79","-0,04"
A2.9.3,CNRset02,Aphrod,Ridge2,Rdg2-9,Aphrodisias,Aphrod,Aphrod,,"1,50","-3,74","0,29"
A2.12.1,CNRset02,Aphrod,Ridge2,Rdg2-12,Aphrodisias,Aphrod,Aphrod,,"2,20","-2,76","-2,17"
A2.12.2,CNRset02,Aphrod,Ridge2,Rdg2-12,Aphrodisias,Aphrod,Aphrod,,"1,50","-2,96","0,77"
A2.12.3,CNRset02,Aphrod,Ridge2,Rdg2-12,Aphrodisias,Aphrod,Aphrod,,"1,50","-2,26","1,29"
A2.13.1,CNRset02,Aphrod,Ridge2,Rdg2-13,Aphrodisias,Aphrod,Aphrod,,"1,40","-2,05","-1,67"
A2.13.2,CNRset02,Aphrod,Ridge2,Rdg2-13,Aphrodisias,Aphrod,Aphrod,,"1,30","-2,52","0,23"
A2.13.3,CNRset02,Aphrod,Ridge2,Rdg2-13,Aphrodisias,Aphrod,Aphrod,,"1,30","-2,52","1,17"
A2.13.4,CNRset02,Aphrod,Ridge2,Rdg2-13,Aphrodisias,Aphrod,Aphrod,,"1,60","-2,44","0,32"
A2.18.1,CNRset02,Aphrod,Ridge2,Rdg2-18,Aphrodisias,Aphrod,Aphrod,,"2,80","-3,70","1,86"
A2.18.2,CNRset02,Aphrod,Ridge2,Rdg2-18,Aphrodisias,Aphrod,Aphrod,,"2,00","-3,49","2,17"
A2.18.3,CNRset02,Aphrod,Ridge2,Rdg2-18,Aphrodisias,Aphrod,Aphrod,,"2,50","-3,80","1,78"
A2.18.4,CNRset02,Aphrod,Ridge2,Rdg2-18,Aphrodisias,Aphrod,Aphrod,,"2,50","-3,61","1,95"
A2.18.5,CNRset02,Aphrod,Ridge2,Rdg2-18,Aphrodisias,Aphrod,Aphrod,,"2,40","-3,21","2,23"
A2.18.6,CNRset02,Aphrod,Ridge2,Rdg2-18,Aphrodisias,Aphrod,Aphrod,,"2,80","-3,29","1,88"
A2.19.1,CNRset02,Aphrod,Ridge2,Rdg2-19,Aphrodisias,Aphrod,Aphrod,,"2,00","-3,82","1,90"
A2.19.2,CNRset02,Aphrod,Ridge2,Rdg2-19,Aphrodisias,Aphrod,Aphrod,,"2,40","-5,41","-0,66"
A2.19.3,CNRset02,Aphrod,Ridge2,Rdg2-19,Aphrodisias,Aphrod,Aphrod,,"1,00","-3,02","2,10"
A2.19.4,CNRset02,Aphrod,Ridge2,Rdg2-19,Aphrodisias,Aphrod,Aphrod,,"1,40","-4,35","1,87"
A2.20a.1,CNRset02,Aphrod,Ridge2,Rdg2-20,Aphrodisias,Aphrod,Aphrod,,"0,10","-3,13","2,18"
A2.20a.2,CNRset02,Aphrod,Ridge2,Rdg2-20,Aphrodisias,Aphrod,Aphrod,,"1,40","-3,20","2,24"
A2.20a.3,CNRset02,Aphrod,Ridge2,Rdg2-20,Aphrodisias,Aphrod,Aphrod,,"2,30","-3,71","2,04"
A2.20ab1,CNRset02,Aphrod,Ridge2,Rdg2-20,Aphrodisias,Aphrod,Aphrod,,"2,40","-4,96","1,45"
A2.20ab2,CNRset02,Aphrod,Ridge2,Rdg2-20,Aphrodisias,Aphrod,Aphrod,,"2,10","-5,15","0,56"
A2.20ab3,CNRset02,Aphrod,Ridge2,Rdg2-20,Aphrodisias,Aphrod,Aphrod,,"2,10","-4,39","1,45"
A2.20ab4,CNRset02,Aphrod,Ridge2,Rdg2-20,Aphrodisias,Aphrod,Aphrod,,"1,40","-4,02","2,21"
A2.20ab5,CNRset02,Aphrod,Ridge2,Rdg2-20,Aphrodisias,Aphrod,Aphrod,,"2,20","-3,95","1,77"
A2.26.1,CNRset02,Aphrod,Ridge2,Rdg2-26,Aphrodisias,Aphrod,Aphrod,,"2,10","-3,83","1,18"
